GeneID	logFC	logCPM	F	PValue	FDR
6772	-3.32763242134672	8.91034632228687	350.303389190964	1.6741562363226e-08	5.8409668780672e-05
84441	-5.13435566957416	6.1067013882316	338.066067237508	1.95674064389913e-08	5.8409668780672e-05
3603	-5.15026852399982	9.12761204677958	327.944705777021	2.23559168201467e-08	5.8409668780672e-05
8454	-2.72170087706663	5.63773393038796	319.361739213124	2.51095854250659e-08	5.8409668780672e-05
256380	-6.95501498441704	8.11582610539187	305.583849039914	3.10722578586575e-08	5.8409668780672e-05
4938	-4.51196011525006	5.33345768492495	293.575342521827	3.62878125630612e-08	5.8409668780672e-05
3718	-3.05617324573971	8.21470848452464	277.43798115394	4.64464431861178e-08	5.8409668780672e-05
3992	4.02570623717094	6.33259077606034	277.018066449967	4.67543395251072e-08	5.8409668780672e-05
3431	-2.93419074338767	6.86971656004483	275.254427238501	4.80750765717276e-08	5.8409668780672e-05
22861	-3.55737281567174	8.37875200743321	274.605233429773	4.85726989724445e-08	5.8409668780672e-05
283130	-2.33657934998049	5.97913725001347	268.483991405947	5.35886934528153e-08	5.8409668780672e-05
100616387	4.33611287418131	5.37659612347384	268.046688856985	5.39707379749265e-08	5.8409668780672e-05
4063	-3.65642589506367	6.93213163092066	265.078918421166	5.66534129783434e-08	5.8409668780672e-05
6494	-3.80157798895853	7.48779273269357	258.293051805375	6.34264894773387e-08	6.07218027474836e-05
92106	-4.26967999285206	7.80442144404146	248.981703920621	7.44116695455363e-08	6.64893071279215e-05
116931	6.54774693831395	6.6340329679775	247.359521694912	8.99992091238361e-08	7.53912124929234e-05
728606	9.53621159858002	4.98803590241824	235.95884570382	1.10157349167816e-07	7.61392902352012e-05
219285	-3.06456181304875	7.18391702712358	226.944836115624	1.11268796799559e-07	7.61392902352012e-05
80342	-3.13054768514167	8.24903346919329	222.28387903088	1.21737822157257e-07	7.61392902352012e-05
100422885	6.18088858291216	2.50062604952121	222.147982052096	1.22060731436182e-07	7.61392902352012e-05
1026	4.28058475517855	4.03725216101864	221.513812457111	1.23581522896531e-07	7.61392902352012e-05
58155	2.64232889938038	6.70551416435043	219.01028560328	1.2981616164888e-07	7.61392902352012e-05
290	4.51618760397647	3.81962255980896	218.343674048026	1.31540669722951e-07	7.61392902352012e-05
50615	-4.67924899485381	5.50782804836253	214.592990101968	1.41783254877159e-07	7.61392902352012e-05
283149	-4.1455659561943	7.60908070113613	214.510555506001	1.42019119292698e-07	7.61392902352012e-05
5494	2.69726681383626	8.23437746180098	208.02323369607	1.6218497044268e-07	8.36063522632014e-05
10379	-2.27788221713694	6.77277309511262	206.14387575477	1.68670545477671e-07	8.37293081865639e-05
79626	-4.86642728383381	3.42870753676818	203.580319001408	1.78036792781982e-07	8.52223976306035e-05
10052	4.23988966710859	3.71970794635684	195.728473821894	2.10963210895062e-07	9.36839590986768e-05
57700	2.24975027393129	7.42011663731581	195.273234614659	2.13091547963712e-07	9.36839590986768e-05
126298	2.39682883495884	6.79208025615766	193.781778077934	2.20250799230496e-07	9.36839590986768e-05
79786	-2.88925855065851	6.08552226990972	192.057002101374	2.28900440117408e-07	9.36839590986768e-05
60481	3.19446676884794	8.78718592857695	191.699477072704	2.30745057206773e-07	9.36839590986768e-05
6753	-5.88797253236068	5.92658253067192	195.827708857349	2.44012916621107e-07	9.36839590986768e-05
64926	-2.56210095017579	8.26315880175403	189.11360610441	2.44642137465768e-07	9.36839590986768e-05
7846	2.66155921071557	8.7001908991395	183.139092909519	2.80873646986106e-07	0.000104570819182077
5934	-2.83310007108001	8.78672061406472	181.196797487494	2.94045464736038e-07	0.000106369954997955
